gene	mean	var
55349	0.482829901062	1
55343	0.0	1
84912	0.494200484655	1
23443	0.0820365251964	1
55293	0.534674389141	1
51268	0.0	1
343	0.0	1
3992	0.660211136856	1
3990	0.0	1
55902	1.03247595604	1
55907	0.287210673373	1
10965	0.0604452571264	1
4731	1.85791680142	1
81539	0.653991744297	1
81537	0.964697516536	1
154091	0.0	1
55586	0.0	1
292	2.56164257885	1
51604	1.3285029921	1
290	1.88843561781	1
51606	0.946337315626	1
586	0.597233629798	1
4832	1.70416540453	1
587	1.63933369601	1
56052	0.96529534172	1
4522	1.94604784562	1
270	0.0	1
271	0.986505757805	1
275	0.0	1
80201	1.90688657486	1
108	0.0	1
109	0.224716332212	1
56901	0.0	1
100	0.491270380798	1
107	0.0	1
9435	0.460864956324	1
79813	0.685952153364	1
84129	0.0	1
79814	0.973730162402	1
9415	0.863120094015	1
10632	2.01843079252	1
53354	0.305494259266	1
10380	1.22878689575	1
8942	0.617097857391	1
7264	1.25282721793	1
84693	0.980484392159	1
7263	1.56724603817	1
5296	0.925183533162	1
2686	0.0	1
2687	0.0	1
5294	0.0	1
2683	0.643937353067	1
10164	0.0	1
2739	1.95333685068	1
98	0.813386418642	1
10560	0.317042710893	1
10568	0.0	1
95	0.307866468437	1
97	0.984389894331	1
1622	1.90381687136	1
1621	0.0	1
10090	0.0	1
5184	1.31642558198	1
1629	0.675620566479	1
8836	1.8140720793	1
8833	1.95055187711	1
3340	0.427838976129	1
5051	0.301720683649	1
1757	0.0	1
4259	1.93160505588	1
4258	1.68459808107	1
23057	0.0	1
4257	1.7513702704	1
1178	0.0	1
5538	1.47213742274	1
29925	0.941059995635	1
11164	1.71651307517	1
50700	0.0	1
1579	0.0	1
8760	0.122784004834	1
1573	0.547821705838	1
1572	0.0	1
79717	1.28301531312	1
516	1.6179358681	1
1577	0.0	1
1576	0.0	1
51477	1.05531564502	1
51478	0.713766175351	1
8540	2.10553977779	1
6572	0.0	1
6573	0.0770871104217	1
6570	0.0	1
6571	0.0	1
6576	1.93841707712	1
6574	1.34575356243	1
6575	0.0	1
6578	0.0	1
6579	0.0	1
1371	1.72816534007	1
8509	0.0	1
1373	0.447126462556	1
1374	1.79349687031	1
1376	1.6584709619	1
28965	0.0	1
2744	4.06834253221	1
23475	1.71188048895	1
2747	0.18504219943	1
2746	2.12322186054	1
23478	3.63742024105	1
4598	0.471687095148	1
253430	0.0	1
196743	0.0	1
4842	0.0643392654473	1
4843	0.0	1
55753	0.199058685778	1
51292	0.853668029997	1
65263	1.30365180547	1
128869	0.5814517119	1
6783	0.0	1
4729	1.42058858319	1
4728	2.41479369305	1
4724	1.00959134611	1
4726	1.56469106249	1
4720	1.39769389689	1
4723	1.36295843732	1
4722	1.77007290068	1
64849	0.0	1
64841	1.28278298065	1
11282	0.422448409551	1
11285	0.227520974533	1
247	0.0	1
117247	0.0	1
240	1.00804024051	1
242	0.0	1
117248	0.0	1
248	0.0	1
81616	0.0	1
2271	1.912340119	1
293	1.90160313446	1
64600	0.0	1
51102	1.19041812484	1
291	1.40516399001	1
51109	1.77602706791	1
9536	0.587768555746	1
125061	0.0	1
9245	0.0	1
122970	0.0	1
56913	0.047922763489	1
178	0.59974335998	1
175	1.4552609611	1
2053	0.0	1
2052	2.1975279577	1
4538	0.119396206342	1
30061	0.0	1
4535	0.847946769152	1
4536	0.329101679895	1
26035	0.742543080952	1
10400	0.633388804703	1
9334	0.577492863	1
10402	0.217207048556	1
9331	0.302982564557	1
10157	0.494549742341	1
10390	0.866263271288	1
10396	0.50558773741	1
54965	0.991538456193	1
54963	0.42333764309	1
2694	0.0	1
54981	0.236189558708	1
84649	0.0	1
6817	0.4683990165	1
